BRAMS execution model
1 cores
Standard_A7,0.00,3278.0,3183.0,0.00,0.00,0.00,0.00
Standard_A8,0.00,1492.9,0.00,0.00,0.00,0.00,0.00
Standard_A8m_v2,0.00,3236.1,3211.0,0.00,0.00,0.00,0.00
Standard_A8_v2,0.00,3024.2,3108.3,0.00,0.00,0.00,0.00
Standard_B8ms,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Standard_D13,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Standard_D13_v2,0.00,1418.2,1328.0,0.00,0.00,0.00,0.00
Standard_D13_v2_Promo,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Standard_D4,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Standard_D4_v2,0.00,1393.7,1269.6,0.00,0.00,0.00,0.00
Standard_D4_v2_Promo,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Standard_D8s_v3,0.00,1915.3,1846.6,0.00,0.00,0.00,0.00
Standard_D8_v3,0.00,1752.5,1849.7,0.00,0.00,0.00,0.00
Standard_DS13_2_v2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Standard_DS13_4_v2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Standard_DS13,0.00,1952.4,1936.4,0.00,0.00,0.00,0.00
Standard_DS13_v2,0.00,1483.9,1330.6,0.00,0.00,0.00,0.00
Standard_DS13_v2_Promo,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Standard_DS4,0.00,1980.0,1883.2,0.00,0.00,0.00,0.00
Standard_DS4_v2,0.00,1379.4,1356.5,0.00,0.00,0.00,0.00
Standard_DS4_v2_Promo,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Standard_E8_2s_v3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Standard_E8_4s_v3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Standard_E8s_v3,0.00,1690.9,1608.8,0.00,0.00,0.00,0.00
Standard_E8_v3,0.00,1835.8,1679.8,0.00,0.00,0.00,0.00
Standard_F8,0.00,1285.4,1399.9,0.00,1355.7,0.00,0.00
Standard_F8s,0.00,1399.5,1341.9,1406.4,1313.9,0.00,0.00
Standard_F8s_v2,0.00,2094.5,2016.8,2088.7,1981.1,2019.2,0.00
Standard_H8,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Standard_H8m,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16 cores
Standard_A11,1465.3,1637.4,1390.4,4225.6,0.00,0.00,0.00
Standard_A9,1694.2,1644.4,1583.8,1570.9,1539.7,0.00,0.00
Standard_D14,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Standard_D14_v2,0.00,0.00,0.00,0.00,1361.5,0.00,0.00
Standard_D14_v2_Promo,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Standard_D16s_v3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Standard_D16_v3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Standard_D5_v2,0.00,0.00,0.00,0.00,1368.2,0.00,0.00
Standard_D5_v2_Promo,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Standard_DS14,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Standard_DS14_4_v2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Standard_DS14_8_v2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Standard_DS14_v2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Standard_DS14_v2_Promo,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Standard_DS5_v2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
